feature,importance,fold
hist_mer_active_months_lag3_std_sum,0,66
hist_mer_active_months_lag3_var_sum,0,66
hist_mer_city_id_nunique_mean,0,66
hist_mer_merchant_category_id_nunique_mean,0,66
hist_mer_min_active_months_mean_sum,0,66
hist_mer_min_active_months_min_sum,0,66
hist_mer_min_active_months_var_sum,0,66
hist_mer_state_id_nunique_mean,0,66
hist_mer_subsector_id_nunique_mean,0,66
hist_weekend_min,0,66
hist_year_mean,0,66
hist_year_min,0,66
month_0,0,66
month_year_0_0,0,66
month_year_10_2012,0,66
month_year_10_2013,0,66
month_year_10_2017,0,66
month_year_11_2011,0,66
month_year_11_2012,0,66
month_year_11_2013,0,66
month_year_11_2017,0,66
month_year_12_2011,0,66
month_year_12_2012,0,66
month_year_12_2017,0,66
month_year_1_2012,0,66
month_year_1_2013,0,66
month_year_1_2018,0,66
month_year_2_2012,0,66
month_year_2_2013,0,66
month_year_2_2018,0,66
month_year_3_2012,0,66
month_year_4_2012,0,66
month_year_5_2013,0,66
month_year_6_2012,0,66
month_year_6_2013,0,66
month_year_7_2013,0,66
month_year_8_2012,0,66
month_year_9_2012,0,66
month_year_9_2014,0,66
new_authorized_flag_max,0,66
new_authorized_flag_mean,0,66
new_authorized_flag_min,0,66
new_card_id_count,0,66
new_mer_active_months_lag12_var_sum,0,66
new_mer_active_months_lag3_max_sum,0,66
new_mer_active_months_lag3_mean_sum,0,66
new_mer_active_months_lag3_min_sum,0,66
new_mer_active_months_lag3_std_mean,0,66
new_mer_active_months_lag3_std_sum,0,66
new_mer_active_months_lag3_var_mean,0,66
new_mer_active_months_lag3_var_sum,0,66
new_mer_active_months_lag6_min_sum,0,66
new_mer_avg_active_months_std_sum,0,66
new_mer_avg_purchases_lag3_std_sum,0,66
new_mer_avg_purchases_lag3_var_sum,0,66
new_mer_avg_purchases_lag6_var_sum,0,66
new_mer_avg_purchases_std_sum,0,66
new_mer_avg_purchases_var_sum,0,66
new_mer_avg_sales_lag12_std_sum,0,66
new_mer_avg_sales_lag12_var_sum,0,66
new_mer_avg_sales_lag3_std_sum,0,66
new_mer_avg_sales_lag3_var_sum,0,66
new_mer_avg_sales_lag6_var_mean,0,66
new_mer_avg_sales_lag6_var_sum,0,66
new_mer_avg_sales_std_sum,0,66
new_mer_city_id_nunique_mean,0,66
new_mer_city_id_nunique_sum,0,66
new_mer_max_active_months_std_sum,0,66
new_mer_max_purchases_std_mean,0,66
new_mer_max_purchases_var_sum,0,66
new_mer_merchant_category_id_nunique_mean,0,66
new_mer_merchant_category_id_nunique_sum,0,66
new_mer_min_active_months_mean_sum,0,66
new_mer_min_active_months_min_sum,0,66
new_mer_min_active_months_std_mean,0,66
new_mer_min_active_months_std_sum,0,66
new_mer_min_active_months_var_mean,0,66
new_mer_min_active_months_var_sum,0,66
new_mer_min_purchases_std_sum,0,66
new_mer_min_purchases_var_sum,0,66
new_mer_min_sales_var_sum,0,66
new_mer_numerical_1_var_sum,0,66
new_mer_state_id_nunique_mean,0,66
new_mer_subsector_id_nunique_mean,0,66
new_year_min,0,66
weekofyear_0,0,66
year_0,0,66
year_2011,0,66
year_2018,0,66
